'0.752';'2.187';0.0
'0.744';'2.144';0.0
'0.744';'2.144';0.0
'0.744';'2.144';0.0
'0.744';'2.144';0.0
'0.744';'2.144';0.0
'0.744';'2.144';0.0
'0.744';'2.144';0.0
'0.744';'2.144';0.0
'0.744';'2.144';0.0
'0.744';'2.144';0.0
'0.744';'2.144';0.0
'0.744';'2.144';0.0
'0.744';'2.144';0.0
'0.744';'2.144';0.0
'0.744';'2.144';0.0
'0.744';'2.144';0.0
'0.744';'2.144';0.0
'0.744';'2.144';0.0
'0.744';'2.144';0.0
'0.747';'2.200';0.0
'0.744';'2.183';0.0
'0.744';'2.183';0.0
'0.744';'2.183';0.0
'0.744';'2.183';0.0
'0.744';'2.183';0.0
'0.744';'2.183';0.0
'0.744';'2.183';0.0
'0.744';'2.183';0.0
'0.744';'2.183';0.0
'0.744';'2.183';0.0
'0.744';'2.183';0.0
'0.744';'2.183';0.0
'0.744';'2.183';0.0
'0.744';'2.183';0.0
'0.744';'2.183';0.0
'0.744';'2.183';0.0
'0.744';'2.183';0.0
'0.744';'2.183';0.0
'0.744';'2.183';0.0
'0.748';'2.174';0.0
'0.736';'2.161';0.0
'0.736';'2.161';0.0
'0.736';'2.161';0.0
'0.736';'2.161';0.0
'0.736';'2.161';0.0
'0.736';'2.161';0.0
'0.736';'2.161';0.0
'0.736';'2.161';0.0
'0.736';'2.161';0.0
'0.736';'2.161';0.0
'0.736';'2.161';0.0
'0.736';'2.161';0.0
'0.736';'2.161';0.0
'0.736';'2.161';0.0
'0.736';'2.161';0.0
'0.736';'2.161';0.0
'0.736';'2.161';0.0
'0.736';'2.161';0.0
'0.736';'2.161';0.0
'0.743';'2.178';0.0
'0.743';'2.178';0.0
'0.743';'2.178';0.0
'0.743';'2.178';0.0
'0.743';'2.178';0.0
'0.743';'2.178';0.0
'0.743';'2.178';0.0
'0.743';'2.178';0.0
'0.743';'2.178';0.0
'0.743';'2.178';0.0
'0.743';'2.178';0.0
'0.743';'2.178';0.0
'0.743';'2.178';0.0
