'-0.89';'3.885';0.0
'-0.88';'3.894';0.0
'-0.79';'3.980';0.0
'-0.70';'4.069';0.0
'-0.61';'4.152';0.0
'-0.52';'4.236';0.0
'-0.44';'4.323';0.0
'-0.36';'4.383';0.0
'-0.29';'4.443';0.0
'-0.29';'4.443';0.0
'-0.17';'4.557';0.0
'-0.10';'4.610';0.0
'-0.04';'4.664';0.0
'-0.04';'4.664';0.0
'0.062';'4.763';0.0
'0.123';'4.819';0.0
'0.184';'4.876';0.0
'0.184';'4.876';0.0
'0.272';'4.958';0.0
'0.318';'5.006';0.0
'0.388';'5.178';0.0
'0.388';'5.178';0.0
'0.388';'5.178';0.0
'0.388';'5.178';0.0
'0.388';'5.178';0.0
'0.388';'5.178';0.0
'0.388';'5.178';0.0
'0.388';'5.178';0.0
'0.388';'5.178';0.0
'0.388';'5.178';0.0
'0.388';'5.178';0.0
'0.388';'5.178';0.0
'0.388';'5.178';0.0
'0.388';'5.178';0.0
'0.388';'5.178';0.0
'0.388';'5.178';0.0
'0.388';'5.178';0.0
'0.388';'5.178';0.0
'0.388';'5.178';0.0
'0.388';'5.178';0.0
'1.039';'6.035';0.0
'1.057';'6.066';0.0
'1.057';'6.066';0.0
'1.106';'6.114';0.0
'1.139';'6.146';0.0
'1.163';'6.162';0.0
'1.220';'6.211';0.0
'1.220';'6.211';0.0
'1.244';'6.228';0.0
'1.269';'6.244';0.0
'1.293';'6.261';0.0
'1.317';'6.277';0.0
'1.337';'6.311';0.0
'1.354';'6.328';0.0
'1.372';'6.344';0.0
'1.389';'6.361';0.0
'1.417';'6.396';0.0
'1.427';'6.413';0.0
'1.452';'6.430';0.0
'1.452';'6.430';0.0
'1.613';'6.679';0.0
'1.613';'6.679';0.0
'1.613';'6.679';0.0
'1.613';'6.679';0.0
'1.613';'6.679';0.0
'1.613';'6.679';0.0
'1.613';'6.679';0.0
'1.613';'6.679';0.0
'1.613';'6.679';0.0
'1.613';'6.679';0.0
'1.613';'6.679';0.0
'1.613';'6.679';0.0
'1.613';'6.679';0.0
'1.613';'6.679';0.0
'1.613';'6.679';0.0
'1.613';'6.679';0.0
'1.613';'6.679';0.0
'1.613';'6.679';0.0
'1.613';'6.679';0.0
'1.613';'6.679';0.0
'1.823';'7.081';0.0
'1.835';'7.121';0.0
'1.839';'7.141';0.0
'1.835';'7.161';0.0
'1.835';'7.161';0.0
'1.835';'7.202';0.0
'1.827';'7.202';0.0
'1.835';'7.202';0.0
'1.835';'7.202';0.0
'1.843';'7.244';0.0
'1.855';'7.264';0.0
'1.876';'7.285';0.0
'1.896';'7.306';0.0
'1.896';'7.306';0.0
'1.917';'7.327';0.0
'1.937';'7.348';0.0
'1.950';'7.370';0.0
'1.979';'7.391';0.0
'2.008';'7.412';0.0
'2.038';'7.434';0.0
'1.919';'7.543';0.0
'1.919';'7.543';0.0
'1.919';'7.543';0.0
'1.919';'7.543';0.0
'1.919';'7.543';0.0
'1.919';'7.543';0.0
'1.919';'7.543';0.0
'1.919';'7.543';0.0
'1.919';'7.543';0.0
'1.919';'7.543';0.0
'1.919';'7.543';0.0
'1.919';'7.543';0.0
'1.919';'7.543';0.0
'1.919';'7.543';0.0
'1.919';'7.543';0.0
'1.919';'7.543';0.0
'1.919';'7.543';0.0
'1.919';'7.543';0.0
'1.919';'7.543';0.0
'1.919';'7.543';0.0
'0.277';'5.066';0.0
'0.342';'5.128';0.0
'0.469';'5.254';0.0
'0.469';'5.254';0.0
'0.531';'5.318';0.0
'0.595';'5.384';0.0
'0.645';'5.438';0.0
'0.645';'5.438';0.0
'0.570';'5.492';0.0
'0.606';'5.534';0.0
'0.642';'5.561';0.0
'0.679';'5.603';0.0
'0.708';'5.632';0.0
'0.739';'5.674';0.0
'0.771';'5.718';0.0
'0.771';'5.718';0.0
'0.831';'5.776';0.0
'0.862';'5.806';0.0
'0.893';'5.835';0.0
'0.893';'5.835';0.0
'0.958';'6.098';0.0
'1.001';'6.130';0.0
'1.024';'6.146';0.0
'1.024';'6.146';0.0
'1.074';'6.195';0.0
'1.090';'6.211';0.0
'1.114';'6.228';0.0
'1.164';'6.277';0.0
'1.164';'6.277';0.0
'1.181';'6.294';0.0
'1.206';'6.311';0.0
'1.223';'6.328';0.0
'1.240';'6.344';0.0
'1.257';'6.361';0.0
'1.277';'6.396';0.0
'1.294';'6.413';0.0
'1.312';'6.430';0.0
'1.329';'6.447';0.0
'1.339';'6.465';0.0
'1.350';'6.482';0.0
'-0.16';'4.373';0.0
'-0.16';'4.373';0.0
'-0.16';'4.373';0.0
'-0.16';'4.373';0.0
'-0.16';'4.373';0.0
'-0.16';'4.373';0.0
'-0.16';'4.373';0.0
'-0.16';'4.373';0.0
'-0.16';'4.373';0.0
'-0.16';'4.373';0.0
'-0.16';'4.373';0.0
'-0.16';'4.373';0.0
'-0.16';'4.373';0.0
'-0.16';'4.373';0.0
'-0.16';'4.373';0.0
'-0.16';'4.373';0.0
'-0.16';'4.373';0.0
'-0.16';'4.373';0.0
'-0.16';'4.373';0.0
'-0.16';'4.373';0.0
'1.726';'7.141';0.0
'1.726';'7.141';0.0
'1.726';'7.141';0.0
'1.726';'7.141';0.0
'1.726';'7.141';0.0
'1.726';'7.141';0.0
