'0.768';'2.760';0.0
'0.765';'2.744';0.0
'0.761';'2.744';0.0
'0.761';'2.744';0.0
'0.761';'2.744';0.0
'0.761';'2.744';0.0
'0.761';'2.744';0.0
'0.761';'2.744';0.0
'0.761';'2.744';0.0
'0.761';'2.744';0.0
'0.761';'2.744';0.0
'0.761';'2.744';0.0
'0.761';'2.744';0.0
'0.761';'2.744';0.0
'0.761';'2.744';0.0
'0.761';'2.744';0.0
'0.761';'2.744';0.0
'0.761';'2.744';0.0
'0.761';'2.744';0.0
'0.761';'2.744';0.0
'0.737';'2.738';0.0
'0.734';'2.732';0.0
'0.734';'2.732';0.0
'0.734';'2.732';0.0
'0.734';'2.732';0.0
'0.734';'2.732';0.0
'0.734';'2.732';0.0
'0.734';'2.732';0.0
'0.734';'2.732';0.0
'0.734';'2.732';0.0
'0.734';'2.732';0.0
'0.734';'2.732';0.0
'0.734';'2.732';0.0
'0.734';'2.732';0.0
'0.734';'2.732';0.0
'0.734';'2.732';0.0
'0.734';'2.732';0.0
'0.734';'2.732';0.0
'0.734';'2.732';0.0
'0.734';'2.732';0.0
'0.739';'3.302';0.0
'0.726';'3.295';0.0
'0.726';'3.295';0.0
'0.726';'3.295';0.0
'0.726';'3.295';0.0
'0.726';'3.295';0.0
'0.726';'3.295';0.0
'0.726';'3.295';0.0
'0.726';'3.295';0.0
'0.727';'3.302';0.0
'0.722';'3.302';0.0
'0.722';'3.302';0.0
'0.722';'3.302';0.0
'0.722';'3.302';0.0
'0.722';'3.302';0.0
'0.722';'3.302';0.0
'0.722';'3.302';0.0
'0.722';'3.302';0.0
'0.722';'3.302';0.0
'0.722';'3.302';0.0
'0.775';'2.789';0.0
'0.775';'2.789';0.0
'0.775';'2.789';0.0
'0.797';'2.732';0.0
'0.797';'2.732';0.0
'0.797';'2.732';0.0
'0.797';'2.732';0.0
'0.797';'2.732';0.0
'0.797';'2.732';0.0
'0.797';'2.732';0.0
'0.797';'2.732';0.0
'0.797';'2.732';0.0
'0.797';'2.732';0.0
'0.797';'2.732';0.0
'0.797';'2.732';0.0
